['1', 3, 4,6, 7, '10', '11', '15', '16', '17', '19', '20', '21', '23', '25', '26', '31', '37', '40', '41',
 '42', '43', '47', '48', '49', '52', '54', '56', '58', '60']

01,03,07,10,11,15,36,41
03,06,10,11,21,42,56,57
03,16,17,19,21,23,25,37
03,07,31,37,41,43,57,58
01,03,37,49,52,56,58,60
06,07,10,16,17,19,20,43
04,23,25,26,31,37,40,41
04,07,37,42,47,48,54,56 
04,06,07,37,40,41,58,60
03,04,26,31,37,40,41,47


03,04,26,31,37,40,41,60
03,04,06,25,26,31,37,40
01,03,15,17,19,20,23,56
03,07,11,15,19,21,37,41
01,04,26,31,37,40,41,53
03,05,19,26,31,37,40,41
03,05,21,25,26,31,37,43
03,04,23,26,31,37,40,41
03,07,23,26,31,37,52,57
01,05,26,31,37,40,41,49


1,19,20,21,23,25,26,3

1,20,21,23,25,26,3,31

1,21,23,25,26,3,31,37

1,23,25,26,3,31,37,4

1,25,26,3,31,37,4,40

1,26,3,31,37,4,40,41


10,23,25,26,3,31,37,4

10,25,26,3,31,37,4,40

10,26,3,31,37,4,40,41

10,11,11,15,16,17,19,20

11,15,16,17,19,20,21,23

11,16,17,19,20,21,23,25



11,21,23,25,26,3,31,37

11,23,25,26,3,31,37,4

11,25,26,3,31,37,4,40

11,26,3,31,37,4,40,41

10,11,15,15,16,17,19,20

11,15,15,16,17,19,20,21

15,16,17,19,20,21,23,25

15,17,19,20,21,23,25,26

15,19,20,21,23,25,26,3

15,20,21,23,25,26,3,31

15,21,23,25,26,3,31,37

15,23,25,26,3,31,37,4

15,25,26,3,31,37,4,40

15,26,3,31,37,4,40,41

10,11,15,16,16,17,19,20

11,15,16,16,17,19,20,21

15,16,16,17,19,20,21,23

16,17,19,20,21,23,25,26

16,19,20,21,23,25,26,3

16,20,21,23,25,26,3,31

16,21,23,25,26,3,31,37

16,23,25,26,3,31,37,4

16,25,26,3,31,37,4,40

16,26,3,31,37,4,40,41

10,11,15,16,17,17,19,20

11,15,16,17,17,19,20,21

15,16,17,17,19,20,21,23

16,17,17,19,20,21,23,25

17,19,20,21,23,25,26,3

17,20,21,23,25,26,3,31

17,21,23,25,26,3,31,37

17,23,25,26,3,31,37,4

17,25,26,3,31,37,4,40

17,26,3,31,37,4,40,41

10,11,15,16,17,19,19,20

11,15,16,17,19,19,20,21

15,16,17,19,19,20,21,23

16,17,19,19,20,21,23,25

17,19,19,20,21,23,25,26

19,20,21,23,25,26,3,31

19,21,23,25,26,3,31,37

19,23,25,26,3,31,37,4

19,25,26,3,31,37,4,40

19,26,3,31,37,4,40,41

10,11,15,16,17,19,20,20

11,15,16,17,19,20,20,21

15,16,17,19,20,20,21,23

16,17,19,20,20,21,23,25

17,19,20,20,21,23,25,26

19,20,20,21,23,25,26,3

20,21,23,25,26,3,31,37

20,23,25,26,3,31,37,4

20,25,26,3,31,37,4,40

